trade_date,ts_code,Open,High,Low,Close,pre_close,change,pct_chg,Volume,amount
2024-12-23,601658.SH,5.42,5.63,5.41,5.59,5.42,0.17,3.1365,2308633.21,1282959.653
2024-12-24,601658.SH,5.58,5.64,5.54,5.63,5.59,0.04,0.7156,2253350.3,1258448.713
2024-12-25,601658.SH,5.63,5.76,5.61,5.66,5.63,0.03,0.5329,1962038.89,1112011.637
2024-12-26,601658.SH,5.66,5.67,5.57,5.62,5.66,-0.04,-0.7067,1388718.63,777611.495
2024-12-27,601658.SH,5.61,5.65,5.5,5.59,5.62,-0.03,-0.5338,1810841.08,1007967.438
2024-12-30,601658.SH,5.56,5.71,5.55,5.7,5.59,0.11,1.9678,1920019.02,1084366.355
2024-12-31,601658.SH,5.69,5.77,5.68,5.68,5.7,-0.02,-0.3509,2038560.22,1167330.371
2025-01-02,601658.SH,5.68,5.76,5.51,5.52,5.68,-0.16,-2.8169,1919775.79,1076430.203
2025-01-03,601658.SH,5.54,5.57,5.44,5.49,5.52,-0.03,-0.5435,1787648.14,984008.383
2025-01-06,601658.SH,5.5,5.6,5.43,5.55,5.49,0.06,1.0929,1666930.3,919091.456
2025-01-07,601658.SH,5.54,5.6,5.49,5.59,5.55,0.04,0.7207,1600120.68,886994.187
2025-01-08,601658.SH,5.44,5.53,5.42,5.45,5.44,0.01,0.1838,2151599.87,1174713.968
2025-01-09,601658.SH,5.44,5.45,5.32,5.37,5.45,-0.08,-1.4679,1460744.58,785045.429
2025-01-10,601658.SH,5.35,5.41,5.28,5.33,5.37,-0.04,-0.7449,1265806.97,676449.413
2025-01-13,601658.SH,5.31,5.32,5.16,5.24,5.33,-0.09,-1.6886,1578536.06,826877.261
2025-01-14,601658.SH,5.23,5.28,5.21,5.25,5.24,0.01,0.1908,1822764.25,955708.346
2025-01-15,601658.SH,5.24,5.33,5.23,5.27,5.25,0.02,0.381,1689389.15,890705.825
2025-01-16,601658.SH,5.28,5.35,5.24,5.32,5.27,0.05,0.9488,1631045.02,863986.382
2025-01-17,601658.SH,5.31,5.35,5.26,5.26,5.32,-0.06,-1.1278,1275479.58,675827.559
2025-01-20,601658.SH,5.27,5.31,5.22,5.22,5.26,-0.04,-0.7605,1556759.75,817585.72
2025-01-21,601658.SH,5.24,5.27,5.18,5.25,5.22,0.03,0.5747,1383694.04,724402.47
2025-01-22,601658.SH,5.25,5.26,5.16,5.18,5.25,-0.07,-1.3333,1435332.68,745887.077
2025-01-23,601658.SH,5.21,5.39,5.21,5.36,5.18,0.18,3.4749,2603711.8,1384944.406
2025-01-24,601658.SH,5.36,5.4,5.28,5.36,5.36,0.0,0.0,1433088.21,765609.151
2025-01-27,601658.SH,5.35,5.44,5.35,5.41,5.36,0.05,0.9328,1499281.7,811101.034
2025-02-05,601658.SH,5.4,5.41,5.26,5.28,5.41,-0.13,-2.403,1762500.26,934879.698
2025-02-06,601658.SH,5.27,5.32,5.23,5.27,5.28,-0.01,-0.1894,1338404.44,703996.345
2025-02-07,601658.SH,5.26,5.27,5.22,5.25,5.27,-0.02,-0.3795,1575808.38,826546.308
2025-02-10,601658.SH,5.23,5.28,5.22,5.25,5.25,0.0,0.0,1312275.37,689798.554
2025-02-11,601658.SH,5.26,5.31,5.24,5.27,5.25,0.02,0.381,2036647.68,1073288.463
2025-02-12,601658.SH,5.27,5.28,5.21,5.27,5.27,0.0,0.0,2192947.56,1152033.047
2025-02-13,601658.SH,5.27,5.31,5.25,5.28,5.27,0.01,0.1898,2319858.48,1225995.017
2025-02-14,601658.SH,5.28,5.31,5.24,5.26,5.28,-0.02,-0.3788,1786370.92,941482.633
2025-02-17,601658.SH,5.26,5.37,5.24,5.36,5.26,0.1,1.9011,2676472.75,1417692.356
2025-02-18,601658.SH,5.35,5.5,5.35,5.48,5.36,0.12,2.2388,2791489.8,1517199.091
2025-02-19,601658.SH,5.46,5.49,5.42,5.44,5.48,-0.04,-0.7299,1643186.59,895645.524
2025-02-20,601658.SH,5.44,5.46,5.4,5.43,5.44,-0.01,-0.1838,1226662.38,666771.02
2025-02-21,601658.SH,5.44,5.45,5.32,5.35,5.43,-0.08,-1.4733,1876515.21,1004966.424
2025-02-24,601658.SH,5.34,5.37,5.3,5.31,5.35,-0.04,-0.7477,1740612.87,926256.224
2025-02-25,601658.SH,5.31,5.32,5.25,5.26,5.31,-0.05,-0.9416,1346533.01,710762.976
2025-02-26,601658.SH,5.26,5.34,5.26,5.28,5.26,0.02,0.3802,1733718.28,917097.754
2025-02-27,601658.SH,5.28,5.33,5.23,5.31,5.28,0.03,0.5682,1661303.68,878167.644
2025-02-28,601658.SH,5.3,5.35,5.3,5.32,5.31,0.01,0.1883,1656032.16,880525.621
2025-03-03,601658.SH,5.31,5.33,5.25,5.26,5.32,-0.06,-1.1278,1774402.03,935216.337
2025-03-04,601658.SH,5.25,5.27,5.24,5.25,5.26,-0.01,-0.1901,1316229.01,691158.593
2025-03-05,601658.SH,5.25,5.35,5.23,5.34,5.25,0.09,1.7143,2291622.31,1216506.029
2025-03-06,601658.SH,5.34,5.35,5.28,5.29,5.34,-0.05,-0.9363,1680781.54,891196.82
2025-03-07,601658.SH,5.3,5.34,5.27,5.31,5.29,0.02,0.3781,1588991.05,843308.41
2025-03-10,601658.SH,5.31,5.32,5.25,5.26,5.31,-0.05,-0.9416,1420803.84,748945.197
2025-03-11,601658.SH,5.25,5.28,5.25,5.27,5.26,0.01,0.1901,1221512.49,642816.2
2025-03-12,601658.SH,5.27,5.28,5.24,5.24,5.27,-0.03,-0.5693,1360991.21,714818.637
2025-03-13,601658.SH,5.24,5.27,5.23,5.27,5.24,0.03,0.5725,1644141.3,863878.091
2025-03-14,601658.SH,5.27,5.41,5.26,5.35,5.27,0.08,1.518,3000807.31,1605312.105
2025-03-17,601658.SH,5.37,5.41,5.35,5.38,5.35,0.03,0.5607,1401018.08,754520.319
2025-03-18,601658.SH,5.4,5.41,5.33,5.36,5.38,-0.02,-0.3717,1116739.1,598372.148
2025-03-19,601658.SH,5.36,5.44,5.35,5.42,5.36,0.06,1.1194,1617500.56,873198.99
2025-03-20,601658.SH,5.43,5.47,5.36,5.37,5.42,-0.05,-0.9225,1392276.94,750907.453
