Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-16,601658,6.6,6.69,6.7,6.59,1754289,961047855.0,1.67,1.36,0.09,0.26
2024-12-17,601658,6.67,6.67,6.73,6.65,1275508,701046405.0,1.2,-0.3,-0.02,0.19
2024-12-18,601658,6.7,6.7,6.78,6.68,1584133,876800834.0,1.5,0.45,0.03,0.24
2024-12-19,601658,6.68,6.62,6.72,6.61,1684504,919975436.0,1.64,-1.19,-0.08,0.25
2024-12-20,601658,6.62,6.61,6.67,6.6,1075046,584834481.0,1.06,-0.15,-0.01,0.16
2024-12-23,601658,6.61,6.78,6.82,6.6,2308633,1282959653.0,3.33,2.57,0.17,0.34
2024-12-24,601658,6.77,6.82,6.83,6.73,2253350,1258448713.0,1.47,0.59,0.04,0.34
2024-12-25,601658,6.82,6.85,6.95,6.8,1962039,1112011637.0,2.2,0.44,0.03,0.29
2024-12-26,601658,6.85,6.81,6.86,6.76,1388719,777611495.0,1.46,-0.58,-0.04,0.21
2024-12-27,601658,6.8,6.78,6.84,6.69,1810841,1007967438.0,2.2,-0.44,-0.03,0.27
2024-12-30,601658,6.75,6.89,6.9,6.74,1920019,1084366355.0,2.36,1.62,0.11,0.29
2024-12-31,601658,6.88,6.87,6.96,6.87,2038560,1167330371.0,1.31,-0.29,-0.02,0.3
2025-01-02,601658,6.87,6.71,6.95,6.7,1919776,1076430203.0,3.64,-2.33,-0.16,0.29
2025-01-03,601658,6.73,6.68,6.76,6.63,1787648,984008383.0,1.94,-0.45,-0.03,0.27
2025-01-06,601658,6.69,6.74,6.79,6.62,1666930,919091456.0,2.54,0.9,0.06,0.25
2025-01-07,601658,6.73,6.78,6.79,6.68,1600121,886994187.0,1.63,0.59,0.04,0.24
2025-01-08,601658,6.77,6.78,6.86,6.75,2151600,1174713968.0,1.62,0.0,0.0,0.32
2025-01-09,601658,6.77,6.7,6.78,6.65,1460745,785045429.0,1.92,-1.18,-0.08,0.22
2025-01-10,601658,6.68,6.66,6.74,6.61,1265807,676449413.0,1.94,-0.6,-0.04,0.19
2025-01-13,601658,6.64,6.57,6.65,6.49,1578536,826877261.0,2.4,-1.35,-0.09,0.24
2025-01-14,601658,6.56,6.58,6.61,6.54,1822764,955708346.0,1.07,0.15,0.01,0.27
2025-01-15,601658,6.57,6.6,6.66,6.56,1689389,890705825.0,1.52,0.3,0.02,0.25
2025-01-16,601658,6.61,6.65,6.68,6.57,1631045,863986382.0,1.67,0.76,0.05,0.24
2025-01-17,601658,6.64,6.59,6.68,6.59,1275480,675827559.0,1.35,-0.9,-0.06,0.19
2025-01-20,601658,6.6,6.55,6.64,6.55,1556760,817585720.0,1.37,-0.61,-0.04,0.23
2025-01-21,601658,6.57,6.58,6.6,6.51,1383694,724402470.0,1.37,0.46,0.03,0.21
2025-01-22,601658,6.58,6.51,6.59,6.49,1435333,745887077.0,1.52,-1.06,-0.07,0.21
2025-01-23,601658,6.54,6.69,6.72,6.54,2603712,1384944406.0,2.76,2.76,0.18,0.39
2025-01-24,601658,6.69,6.69,6.73,6.61,1433088,765609151.0,1.79,0.0,0.0,0.21
2025-01-27,601658,6.68,6.74,6.77,6.68,1499282,811101034.0,1.35,0.75,0.05,0.22
2025-02-05,601658,6.73,6.61,6.74,6.59,1762500,934879698.0,2.23,-1.93,-0.13,0.26
2025-02-06,601658,6.6,6.6,6.65,6.56,1338404,703996345.0,1.36,-0.15,-0.01,0.2
2025-02-07,601658,6.59,6.58,6.6,6.55,1575808,826546308.0,0.76,-0.3,-0.02,0.23
2025-02-10,601658,6.56,6.58,6.61,6.55,1312275,689798554.0,0.91,0.0,0.0,0.2
2025-02-11,601658,6.59,6.6,6.64,6.57,2036648,1073288463.0,1.06,0.3,0.02,0.3
2025-02-12,601658,6.6,6.6,6.61,6.54,2192948,1152033047.0,1.06,0.0,0.0,0.33
2025-02-13,601658,6.6,6.61,6.64,6.58,2319858,1225995017.0,0.91,0.15,0.01,0.35
2025-02-14,601658,6.61,6.59,6.64,6.57,1786371,941482633.0,1.06,-0.3,-0.02,0.27
2025-02-17,601658,6.59,6.69,6.7,6.57,2676473,1417692356.0,1.97,1.52,0.1,0.4
2025-02-18,601658,6.68,6.81,6.83,6.68,2791490,1517199091.0,2.24,1.79,0.12,0.42
2025-02-19,601658,6.79,6.77,6.82,6.75,1643187,895645524.0,1.03,-0.59,-0.04,0.24
2025-02-20,601658,6.77,6.76,6.79,6.73,1226662,666771020.0,0.89,-0.15,-0.01,0.18
2025-02-21,601658,6.77,6.68,6.78,6.65,1876515,1004966424.0,1.92,-1.18,-0.08,0.28
2025-02-24,601658,6.67,6.64,6.7,6.63,1740613,926256224.0,1.05,-0.6,-0.04,0.26
2025-02-25,601658,6.64,6.59,6.65,6.58,1346533,710762976.0,1.05,-0.75,-0.05,0.2
2025-02-26,601658,6.59,6.61,6.67,6.59,1733718,917097754.0,1.21,0.3,0.02,0.26
2025-02-27,601658,6.61,6.64,6.66,6.56,1661304,878167644.0,1.51,0.45,0.03,0.25
2025-02-28,601658,6.63,6.65,6.68,6.63,1656032,880525621.0,0.75,0.15,0.01,0.25
2025-03-03,601658,6.64,6.59,6.66,6.58,1774402,935216337.0,1.2,-0.9,-0.06,0.26
2025-03-04,601658,6.58,6.58,6.6,6.57,1316229,691158593.0,0.46,-0.15,-0.01,0.2
2025-03-05,601658,6.58,6.67,6.68,6.56,2291622,1216506029.0,1.82,1.37,0.09,0.34
2025-03-06,601658,6.67,6.62,6.68,6.61,1680782,891196820.0,1.05,-0.75,-0.05,0.25
2025-03-07,601658,6.63,6.64,6.67,6.6,1588991,843308410.0,1.06,0.3,0.02,0.24
2025-03-10,601658,6.64,6.59,6.65,6.58,1420804,748945197.0,1.05,-0.75,-0.05,0.21
2025-03-11,601658,6.58,6.6,6.61,6.58,1221512,642816200.0,0.46,0.15,0.01,0.18
2025-03-12,601658,6.6,6.57,6.61,6.57,1360991,714818637.0,0.61,-0.45,-0.03,0.2
2025-03-13,601658,6.57,6.6,6.6,6.56,1644141,863878091.0,0.61,0.46,0.03,0.24
2025-03-14,601658,6.6,6.68,6.74,6.59,3000807,1605312105.0,2.27,1.21,0.08,0.45
2025-03-17,601658,6.7,6.71,6.74,6.68,1401018,754520319.0,0.9,0.45,0.03,0.21
2025-03-18,601658,6.73,6.69,6.74,6.66,1116739,598372148.0,1.19,-0.3,-0.02,0.17
2025-03-19,601658,6.69,6.75,6.77,6.68,1617501,873198990.0,1.35,0.9,0.06,0.24
2025-03-20,601658,6.76,6.7,6.8,6.69,1392277,750907453.0,1.63,-0.74,-0.05,0.21
2025-03-21,601658,6.69,6.66,6.73,6.65,1505070,806587288.0,1.19,-0.6,-0.04,0.22
2025-03-24,601658,6.66,6.68,6.71,6.66,1504524,805610246.0,0.75,0.3,0.02,0.22
2025-03-25,601658,6.68,6.71,6.74,6.68,1448843,781048591.0,0.9,0.45,0.03,0.22
2025-03-26,601658,6.71,6.68,6.72,6.66,1423667,762244230.0,0.89,-0.45,-0.03,0.21
2025-03-27,601658,6.68,6.66,6.71,6.66,1344296,719289564.0,0.75,-0.3,-0.02,0.2
2025-03-28,601658,6.61,6.53,6.62,6.47,5887779,3053336402.0,2.25,-1.95,-0.13,0.88
2025-03-31,601658,6.58,6.54,6.61,6.51,4280160,2241690279.0,1.53,0.15,0.01,0.64
2025-04-01,601658,6.53,6.49,6.55,6.48,2965095,1533349613.0,1.07,-0.76,-0.05,0.44
